"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchase_count","revenue"
2023-06-20 15:15:04.701,1,telegram,cpp,base-java,0,1,1,1209536
2023-06-20 15:36:15.225,1,telegram,cpp,base-java,0,1,1,1209536
2023-06-24 14:31:42.202,1,telegram,cpp,base-java,0,1,1,1209536
2023-06-20 01:29:53.911,1,telegram,cpp,base-java,0,1,1,1058344
2023-06-15 11:31:21.988,1,telegram,cpp,base-java,0,1,1,907152
2023-06-10 14:19:28.407,1,telegram,cpp,base-java,0,1,1,755960
2023-06-09 23:57:04.859,1,telegram,cpp,base-java,0,1,1,604768
2023-06-01 11:33:54.507,1,yandex,cpc,prof-frontend,0,1,1,475980
2023-06-01 12:48:24.476,1,yandex,cpc,prof-frontend,0,1,1,475980
2023-06-09 13:35:13.923,1,telegram,cpp,base-java,0,1,1,453576
2023-06-20 19:51:26.004,1,,,,0,1,1,356400
2023-06-07 16:18:04.418,1,telegram,cpp,base-java,0,1,1,302384
2023-06-20 16:28:35.998,1,,,,0,1,1,268200
2023-06-21 05:37:36.565,1,,,,0,1,1,268200
2023-06-28 15:12:16.901,1,,,,0,1,1,265174
